,GEOID,CD
245,1500000US280519505002,01
246,1500000US280539502003,01
247,1500000US280579502001,03
248,1500000US280579503002,03
249,1500000US280579505003,03
250,1500000US280590402013,02
251,1500000US280590402043,02
252,1500000US280590403005,02
253,1500000US280590405002,02
254,1500000US280590405005,02
255,1500000US280590406003,02
256,1500000US280590407003,02
257,1500000US280959504003,03
258,1500000US280959506002,04
259,1500000US280959507002,04
260,1500000US280959508003,04
261,1500000US280979503002,03
262,1500000US280990104001,04
263,1500000US280990104003,04
264,1500000US280990107003,04
265,1500000US281010503001,04
266,1500000US281010504002,04
267,1500000US281010505004,04
268,1500000US281039502001,04
269,1500000US281059502002,04
270,1500000US281059503001,04
271,1500000US281059505001,04
272,1500000US281059506012,04
273,1500000US281059507005,04
274,1500000US281079502001,03
275,1500000US281079505002,03
276,1500000US281079506001,03
277,1500000US281079506004,03
278,1500000US281099503002,02
279,1500000US281099505011,02
280,1500000US281210206001,04
281,1500000US281210206002,04
282,1500000US281210207031,04
283,1500000US281210208012,04
284,1500000US281210210011,04
285,1500000US281210210031,04
286,1500000US281230202003,03
287,1500000US281230204002,03
288,1500000US281259501001,01
289,1500000US281259502002,01
290,1500000US281279502002,04
291,1500000US281279504001,04
292,1500000US281279505001,04
293,1500000US281299502006,03
294,1500000US281310202023,02
295,1500000US281339501002,01
296,1500000US281339502002,01
297,1500000US281339503001,01
298,1500000US281339504013,01
299,1500000US281339504023,01
300,1500000US281359502001,03
301,1500000US281359503002,01
302,1500000US281099505012,02
303,1500000US281099505013,02
304,1500000US281099506001,02
305,1500000US281099507003,02
306,1500000US281139501011,01
307,1500000US281139502002,01
308,1500000US281139503004,01
309,1500000US281139505003,01
310,1500000US281139505006,01
311,1500000US281159501011,03
312,1500000US281159502002,03
313,1500000US281159505003,03
314,1500000US281179503001,03
315,1500000US281179503005,03
316,1500000US281199502001,01
317,1500000US281199503003,01
318,1500000US281210202061,04
319,1500000US281210202081,04
320,1500000US281210202093,04
321,1500000US281210202112,04
322,1500000US281210203012,04
323,1500000US281210204012,04
324,1500000US281210205002,04
325,1500000US280870004033,04
326,1500000US280870004041,04
327,1500000US280870005001,04
328,1500000US280870007001,04
329,1500000US280870008002,04
330,1500000US280870008004,04
331,1500000US280890301011,01
332,1500000US280890301014,01
333,1500000US280890301052,04
334,1500000US280890301061,04
335,1500000US280890301063,04
336,1500000US280890301081,04
337,1500000US280890301084,04
338,1500000US280890302021,01
339,1500000US280890302022,01
340,1500000US280890302051,01
341,1500000US280890303012,01
342,1500000US280890305001,01
343,1500000US280890306001,01
344,1500000US280890308001,01
345,1500000US280890310002,01
346,1500000US280919503001,02
347,1500000US280919504002,02
348,1500000US280939501003,03
349,1500000US280939503004,03
350,1500000US280939504023,03
351,1500000US280939505005,03
352,1500000US280959502002,04
353,1500000US280959503001,03
354,1500000US280959504001,03
355,1500000US280330704222,03
356,1500000US280330705201,03
357,1500000US280330705211,03
358,1500000US280330705212,03
359,1500000US280330705221,03
360,1500000US280330705223,03
361,1500000US280330706101,03
362,1500000US280330706201,03
363,1500000US280330706301,03
364,1500000US280330706302,03
365,1500000US280330707101,03
366,1500000US280330707211,03
367,1500000US280330707221,03
368,1500000US280330707222,03
369,1500000US280330708111,03
370,1500000US280330708121,03
371,1500000US280330708122,03
372,1500000US280330708211,03
373,1500000US280330708212,03
374,1500000US280330708222,03
375,1500000US280330708301,03
376,1500000US280330709001,03
377,1500000US280330709002,03
378,1500000US281359504003,03
379,1500000US281379501001,03
380,1500000US281379504001,01
381,1500000US281379504002,01
382,1500000US281379504004,01
383,1500000US281399503001,03
384,1500000US281399503003,03
385,1500000US281399504006,03
386,1500000US281419502002,03
387,1500000US281419504005,03
388,1500000US281439502002,01
389,1500000US281439800001,01
390,1500000US281459503001,03
391,1500000US281459504002,03
392,1500000US281459506001,03
393,1500000US281499501004,01
394,1500000US281499503001,01
395,1500000US281499503003,01
396,1500000US281499505001,01
397,1500000US281499507001,01
398,1500000US281499509022,01
399,1500000US281510001001,01
400,1500000US281510002001,01
401,1500000US281510004002,01
402,1500000US281510004004,01
403,1500000US281510006005,01
404,1500000US281510007011,01
405,1500000US281510007012,01
406,1500000US281510007013,01
407,1500000US281510007021,01
408,1500000US281510007023,01
409,1500000US281510009003,01
410,1500000US281510011001,01
411,1500000US281510012003,01
412,1500000US281510014002,01
413,1500000US281510016001,01
414,1500000US281510017001,01
415,1500000US281510021001,01
416,1500000US281539502002,02
417,1500000US281559501003,04
418,1500000US281559503001,03
419,1500000US281579501001,01
420,1500000US281579502001,01
421,1500000US281579502004,01
422,1500000US281599503001,04
423,1500000US281599503003,04
424,1500000US281599504002,04
425,1500000US281619501003,03
426,1500000US281619503002,03
427,1500000US281639502001,01
428,1500000US281639502003,01
429,1500000US281639503004,01
430,1500000US281639504002,01
431,1500000US280330704122,03
432,1500000US280330704123,03
433,1500000US280330704211,03
434,1500000US280330704221,03
435,1500000US280350007001,04
436,1500000US280350007002,04
437,1500000US280350007003,04
438,1500000US280350008002,04
439,1500000US280350008003,04
440,1500000US280350008004,04
441,1500000US280350009002,04
442,1500000US280350009003,04
443,1500000US280350010001,04
444,1500000US280350010002,04
445,1500000US280350011001,04
446,1500000US280350011002,04
447,1500000US280350101011,04
448,1500000US280350101012,04
449,1500000US280350101021,04
450,1500000US280350101022,04
451,1500000US280350101023,04
452,1500000US280350102001,04
453,1500000US280350102003,04
454,1500000US280350102004,04
455,1500000US280350107002,04
456,1500000US280379501001,01
457,1500000US280379501002,02
458,1500000US280379501003,02
459,1500000US280379501004,01
460,1500000US280379501005,01
461,1500000US280350103001,04
462,1500000US280350103002,04
463,1500000US280350104001,04
464,1500000US280350104002,04
465,1500000US280350104003,04
466,1500000US280350105001,04
467,1500000US280350105002,04
468,1500000US280350105003,04
469,1500000US280350106001,02
470,1500000US280350106002,02
471,1500000US280350106003,02
472,1500000US280350106005,02
473,1500000US280350107001,04
474,1500000US280330710001,03
475,1500000US280330710002,03
476,1500000US280330711101,03
477,1500000US280330711102,03
478,1500000US280330711201,03
479,1500000US280330711202,03
480,1500000US280330711203,03
481,1500000US280330712002,01
482,1500000US280350002001,04
483,1500000US280350002002,04
484,1500000US280350003001,04
485,1500000US280350003002,04
486,1500000US280350003003,04
487,1500000US280350005001,04
488,1500000US280350006002,04
489,1500000US280350006003,04
490,1500000US280350006004,04
491,1500000US280399503012,02
492,1500000US280399503013,02
493,1500000US280399503014,02
494,1500000US280399503021,02
495,1500000US280399503022,02
496,1500000US280419501001,02
497,1500000US280419501003,02
498,1500000US280439501002,03
499,1500000US280439501003,03
500,1500000US280439502001,03
501,1500000US280439502002,03
502,1500000US280439503001,03
503,1500000US280439503002,03
504,1500000US280439503003,03
505,1500000US280439504002,03
506,1500000US280439504003,03
507,1500000US280439505004,03
508,1500000US280450301001,02
509,1500000US280450301003,02
510,1500000US280450301004,02
511,1500000US280450301005,02
512,1500000US280419501004,02
513,1500000US280419502001,02
514,1500000US280419502002,02
515,1500000US280419502003,02
516,1500000US280419502004,02
517,1500000US280419502005,02
518,1500000US280439501001,03
519,1500000US280379502001,01
520,1500000US280379502002,01
521,1500000US280379502003,01
522,1500000US280399501011,02
523,1500000US280399501013,02
524,1500000US280399501021,02
525,1500000US280399501022,02
526,1500000US280399502001,02
527,1500000US280399502002,02
528,1500000US280399503011,02
529,1500000US280450306011,02
530,1500000US280450306012,02
531,1500000US280450306013,02
532,1500000US280450306021,02
533,1500000US280450306022,02
534,1500000US280450306023,02
535,1500000US280470001001,02
536,1500000US280470003001,02
537,1500000US280470003003,02
538,1500000US280470006001,02
539,1500000US280470006003,02
540,1500000US280470009001,02
541,1500000US280470009002,02
542,1500000US280470012012,02
543,1500000US280470012013,02
544,1500000US280470012021,02
545,1500000US280470012023,02
546,1500000US280470012024,02
547,1500000US280470013001,02
548,1500000US280470013003,02
549,1500000US280470014001,02
550,1500000US280470027001,02
551,1500000US280470027002,02
552,1500000US280470027004,02
553,1500000US280470028001,02
554,1500000US280470028002,02
555,1500000US280470029001,02
556,1500000US280470029002,02
557,1500000US280470030001,02
558,1500000US280470030002,02
559,1500000US280470031011,02
560,1500000US280470031012,02
561,1500000US280470031014,02
562,1500000US280470031021,02
563,1500000US280470031022,02
564,1500000US280470031023,02
565,1500000US280470032043,02
566,1500000US280470032051,02
567,1500000US280470032053,02
568,1500000US280470032061,02
569,1500000US280470014003,02
570,1500000US280470014004,02
571,1500000US280470015011,02
572,1500000US280470015021,02
573,1500000US280470015022,02
574,1500000US280470015023,02
575,1500000US280470016001,02
576,1500000US280470016003,02
577,1500000US280470016004,02
578,1500000US280470017001,02
579,1500000US280470017003,02
580,1500000US280470017004,02
581,1500000US280470017005,02
582,1500000US280470018002,02
583,1500000US280470018003,02
584,1500000US280470019001,02
585,1500000US280470019002,02
586,1500000US280470020001,02
587,1500000US280470020002,02
588,1500000US280470020003,02
589,1500000US280470023002,02
590,1500000US280470023003,02
591,1500000US280470024001,02
592,1500000US280470024002,02
593,1500000US280470025001,02
594,1500000US280470026001,02
595,1500000US280470026003,02
596,1500000US280450302001,02
597,1500000US280450302003,02
598,1500000US280450302004,02
599,1500000US280450302005,02
600,1500000US280450303001,02
601,1500000US280450303002,02
602,1500000US280450303003,02
603,1500000US280450303004,02
604,1500000US280450303005,02
605,1500000US280450303007,02
606,1500000US280450303008,02
607,1500000US280450304001,02
608,1500000US280450304002,02
609,1500000US280450304003,02
610,1500000US280450305002,02
611,1500000US280450305003,02
612,1500000US280470037001,02
613,1500000US280470037002,02
614,1500000US280470038001,02
615,1500000US280470038002,02
616,1500000US280470039002,02
617,1500000US280470039003,02
618,1500000US280470039004,02
619,1500000US280470039005,02
620,1500000US280479800001,02
621,1500000US280490001001,04
622,1500000US280490001002,04
623,1500000US280490001004,04
624,1500000US280490002001,04
625,1500000US280490002002,04
626,1500000US280490002004,04
627,1500000US280490002005,04
